"Especie_1";"Especie_2";"r_Spearman";"p_valor";"Significativo"
"Machaerium nyctitans (3)";"Syagrus romanzoffiana (5)";0,387;0,2146;"Não"
"Guarea macrophylla (3)";"Luehea candicans (8)";0,385;0,2165;"Não"
"Guarea macrophylla (3)";"Myrcia tomentosa (4)";0,364;0,2442;"Não"
"Aloysia virgata (3)";"Moquiniastrum polymorphum (6)";-0,363;0,2464;"Não"
"Tapirira guianensis (3)";"Zanthoxylum rhoifolium (6)";-0,363;0,2464;"Não"
"Guarea macrophylla (3)";"Machaerium nyctitans (3)";0,363;0,2467;"Não"
"Myracrodruon urundeuva (9)";"Zanthoxylum rhoifolium (6)";0,362;0,2472;"Não"
"Chrysophyllum marginatum (5)";"Croton floribundus (4)";0,356;0,2556;"Não"
"Eucalyptus spp. (3)";"Zanthoxylum rhoifolium (6)";0,345;0,2719;"Não"
"Chrysophyllum marginatum (5)";"Eugenia florida (3)";0,343;0,2748;"Não"
"Croton floribundus (4)";"Zanthoxylum rhoifolium (6)";-0,338;0,2822;"Não"
"Eugenia florida (3)";"Guazuma ulmifolia (5)";0,334;0,289;"Não"
"Eugenia florida (3)";"Guarea macrophylla (3)";0,32;0,3105;"Não"
"Aloysia virgata (3)";"Luehea candicans (8)";0,317;0,3155;"Não"
"Aloysia virgata (3)";"Machaerium nyctitans (3)";-0,315;0,3188;"Não"
"Myracrodruon urundeuva (9)";"Tapirira guianensis (3)";-0,31;0,3266;"Não"
"Myracrodruon urundeuva (9)";"Trichilia pallida (5)";-0,308;0,3304;"Não"
"Sebastiania brasiliensis (4)";"Trichilia pallida (5)";-0,308;0,3304;"Não"
"Aloysia virgata (3)";"Croton floribundus (4)";0,296;0,3496;"Não"
"Alchornea glandulosa (3)";"Chrysophyllum marginatum (5)";-0,293;0,3553;"Não"
"Croton floribundus (4)";"Luehea candicans (8)";0,28;0,3776;"Não"
"Alchornea glandulosa (3)";"Aloysia virgata (3)";0,276;0,3845;"Não"
"Eucalyptus spp. (3)";"Machaerium nyctitans (3)";-0,273;0,391;"Não"
"Luehea candicans (8)";"Zanthoxylum rhoifolium (6)";-0,271;0,3936;"Não"
"Casearia sylvestris (8)";"Croton floribundus (4)";-0,267;0,4011;"Não"
"Moquiniastrum polymorphum (6)";"Tapirira guianensis (3)";-0,26;0,4144;"Não"
"Croton floribundus (4)";"Moquiniastrum polymorphum (6)";0,258;0,4179;"Não"
"Croton floribundus (4)";"Myracrodruon urundeuva (9)";-0,254;0,4256;"Não"
"Luehea candicans (8)";"Moquiniastrum polymorphum (6)";-0,24;0,4521;"Não"
"Eucalyptus spp. (3)";"Syagrus romanzoffiana (5)";-0,235;0,4623;"Não"
"Myrcia tomentosa (4)";"Trichilia pallida (5)";-0,229;0,4732;"Não"
"Aloysia virgata (3)";"Zanthoxylum rhoifolium (6)";-0,226;0,4792;"Não"
"Sebastiania brasiliensis (4)";"Zanthoxylum rhoifolium (6)";-0,226;0,4792;"Não"
"Chrysophyllum marginatum (5)";"Guarea macrophylla (3)";0,224;0,4843;"Não"
"Chrysophyllum marginatum (5)";"Syagrus romanzoffiana (5)";0,224;0,4849;"Não"
"Casearia sylvestris (8)";"Eucalyptus spp. (3)";-0,213;0,5065;"Não"
"Aloysia virgata (3)";"Casearia sylvestris (8)";0,209;0,5152;"Não"
"Casearia sylvestris (8)";"Moquiniastrum polymorphum (6)";0,199;0,5345;"Não"
"Aloysia virgata (3)";"Myracrodruon urundeuva (9)";-0,198;0,5366;"Não"
"Myracrodruon urundeuva (9)";"Sebastiania brasiliensis (4)";-0,198;0,5366;"Não"
"Sebastiania brasiliensis (4)";"Syagrus romanzoffiana (5)";0,197;0,5393;"Não"
"Machaerium nyctitans (3)";"Myracrodruon urundeuva (9)";0,197;0,5398;"Não"
"Syagrus romanzoffiana (5)";"Trichilia pallida (5)";0,191;0,5518;"Não"
"Guazuma ulmifolia (5)";"Machaerium nyctitans (3)";0,188;0,5585;"Não"
"Guazuma ulmifolia (5)";"Trichilia pallida (5)";0,186;0,5629;"Não"
"Casearia sylvestris (8)";"Eugenia florida (3)";0,185;0,5653;"Não"
"Tapirira guianensis (3)";"Trichilia pallida (5)";0,183;0,5692;"Não"
"Moquiniastrum polymorphum (6)";"Syagrus romanzoffiana (5)";0,178;0,5797;"Não"
"Eugenia florida (3)";"Tapirira guianensis (3)";0,177;0,5831;"Não"
"Eucalyptus spp. (3)";"Trichilia pallida (5)";0,169;0,5999;"Não"
"Alchornea glandulosa (3)";"Syagrus romanzoffiana (5)";0,167;0,6043;"Não"
"Casearia sylvestris (8)";"Guazuma ulmifolia (5)";-0,162;0,6147;"Não"
"Chrysophyllum marginatum (5)";"Zanthoxylum rhoifolium (6)";0,159;0,6221;"Não"
"Chrysophyllum marginatum (5)";"Luehea candicans (8)";-0,159;0,6221;"Não"
"Aloysia virgata (3)";"Syagrus romanzoffiana (5)";-0,154;0,6336;"Não"
"Casearia sylvestris (8)";"Myrcia tomentosa (4)";0,153;0,6343;"Não"
"Aloysia virgata (3)";"Guarea macrophylla (3)";0,149;0,6432;"Não"
"Chrysophyllum marginatum (5)";"Guazuma ulmifolia (5)";0,148;0,6456;"Não"
"Chrysophyllum marginatum (5)";"Sebastiania brasiliensis (4)";0,148;0,6467;"Não"
"Eucalyptus spp. (3)";"Myracrodruon urundeuva (9)";-0,146;0,6506;"Não"
"Alchornea glandulosa (3)";"Moquiniastrum polymorphum (6)";0,141;0,6618;"Não"
"Moquiniastrum polymorphum (6)";"Myrcia tomentosa (4)";0,141;0,6618;"Não"
"Myrcia tomentosa (4)";"Zanthoxylum rhoifolium (6)";-0,141;0,6623;"Não"
"Aloysia virgata (3)";"Chrysophyllum marginatum (5)";-0,139;0,6663;"Não"
"Eucalyptus spp. (3)";"Luehea candicans (8)";-0,125;0,6975;"Não"
"Casearia sylvestris (8)";"Tapirira guianensis (3)";-0,122;0,7049;"Não"
"Machaerium nyctitans (3)";"Sebastiania brasiliensis (4)";0,118;0,7147;"Não"
"Chrysophyllum marginatum (5)";"Tapirira guianensis (3)";-0,116;0,7207;"Não"
"Trichilia pallida (5)";"Zanthoxylum rhoifolium (6)";0,114;0,7239;"Não"
"Aloysia virgata (3)";"Eugenia florida (3)";0,113;0,7268;"Não"
"Chrysophyllum marginatum (5)";"Myrcia tomentosa (4)";-0,113;0,7273;"Não"
"Luehea candicans (8)";"Machaerium nyctitans (3)";-0,108;0,7387;"Não"
"Machaerium nyctitans (3)";"Zanthoxylum rhoifolium (6)";-0,108;0,7387;"Não"
"Moquiniastrum polymorphum (6)";"Zanthoxylum rhoifolium (6)";-0,108;0,7391;"Não"
"Guarea macrophylla (3)";"Moquiniastrum polymorphum (6)";0,107;0,7404;"Não"
"Luehea candicans (8)";"Myrcia tomentosa (4)";0,106;0,7438;"Não"
"Alchornea glandulosa (3)";"Luehea candicans (8)";0,106;0,7438;"Não"
"Eugenia florida (3)";"Syagrus romanzoffiana (5)";0,106;0,744;"Não"
"Alchornea glandulosa (3)";"Trichilia pallida (5)";-0,105;0,746;"Não"
"Guazuma ulmifolia (5)";"Moquiniastrum polymorphum (6)";0,103;0,7498;"Não"
"Syagrus romanzoffiana (5)";"Tapirira guianensis (3)";0,102;0,7526;"Não"
"Chrysophyllum marginatum (5)";"Myracrodruon urundeuva (9)";0,096;0,7675;"Não"
"Machaerium nyctitans (3)";"Tapirira guianensis (3)";-0,092;0,7754;"Não"
"Chrysophyllum marginatum (5)";"Eucalyptus spp. (3)";-0,084;0,7944;"Não"
"Myrcia tomentosa (4)";"Syagrus romanzoffiana (5)";-0,081;0,802;"Não"
"Casearia sylvestris (8)";"Zanthoxylum rhoifolium (6)";0,079;0,8063;"Não"
"Casearia sylvestris (8)";"Sebastiania brasiliensis (4)";-0,078;0,809;"Não"
"Eugenia florida (3)";"Zanthoxylum rhoifolium (6)";-0,077;0,8112;"Não"
"Eugenia florida (3)";"Luehea candicans (8)";-0,077;0,8112;"Não"
"Luehea candicans (8)";"Sebastiania brasiliensis (4)";0,068;0,8339;"Não"
"Guazuma ulmifolia (5)";"Myracrodruon urundeuva (9)";-0,068;0,8345;"Não"
"Alchornea glandulosa (3)";"Machaerium nyctitans (3)";-0,061;0,85;"Não"
"Machaerium nyctitans (3)";"Myrcia tomentosa (4)";-0,061;0,85;"Não"
"Alchornea glandulosa (3)";"Casearia sylvestris (8)";-0,05;0,8784;"Não"
"Alchornea glandulosa (3)";"Myracrodruon urundeuva (9)";0,045;0,8896;"Não"
"Myracrodruon urundeuva (9)";"Myrcia tomentosa (4)";0,045;0,8896;"Não"
"Aloysia virgata (3)";"Trichilia pallida (5)";0,045;0,8898;"Não"
"Guazuma ulmifolia (5)";"Zanthoxylum rhoifolium (6)";-0,039;0,9052;"Não"
"Moquiniastrum polymorphum (6)";"Sebastiania brasiliensis (4)";-0,03;0,9257;"Não"
"Casearia sylvestris (8)";"Machaerium nyctitans (3)";-0,028;0,9321;"Não"
"Guarea macrophylla (3)";"Trichilia pallida (5)";-0,018;0,9553;"Não"
"Casearia sylvestris (8)";"Chrysophyllum marginatum (5)";0,014;0,965;"Não"
