Species,IN,FI,Dispersion
Bastardiopsis densiflora,-3,0,3
Alchornea glandulosa,-4,4,4
Andira fraxinifolia,-5,0,4
Andira fraxinifolia,1,4,4
Annona sylvatica,-5,-1,4
Annona sylvatica,2,3,4
Casearia sylvestris,-5,6,4
Cupania vernalis,-5,5,4
Diospyros inconstans,-2,4,4
Diospyros inconstans,6,6,4
Eugenia florida,-4,6,4
Guapira hirsuta,-5,6,4
Guarea macrophylla,-5,5,4
Guazuma ulmifolia,-4,6,4
Leucochloron incuriale,-3,4,4
Lithraea molleoides,-5,6,4
Machaerium stipitatum,-2,5,4
Machaerium villosum,-5,4,4
Moquiniastrum polymorphum,-5,6,4
Myrsine umbellata,-5,-1,4
Myrsine umbellata,1,6,4
Nectandra lanceolata,-5,3,4
Ocotea puberula,-5,-4,4
Ocotea puberula,-2,6,4
Pera glabrata,-2,2,4
Syagrus romanzoffiana,-5,6,4
Tapirira guianensis,-5,6,4
Trichilia catigua,-4,6,4
Vochysia tucanorum,-4,6,4
Zanthoxylum monogynum,-4,2,4
Zanthoxylum petiolare,-2,0,4
Zanthoxylum petiolare,1,4,4
