mes,Indtot,Indfrut,Esptot,Espfrut
agosto,215,8,49,7
setembro,215,7,49,6
outubro,215,2,49,2
novembro,215,0,49,0
dezembro,215,0,49,0
janeiro,215,2,49,2
fevereiro,215,1,49,1
marco,215,0,49,0
abril,215,2,49,1
maio,215,2,49,1
junho,215,3,49,3
julho,215,2,49,1
